image_id,annotator_1_object_label,annotator_2_object_label,annotator_1_narrative_label,annotator_2_narrative_label,annotator_1_confidence,annotator_2_confidence,annotator_1_requires_context,annotator_2_requires_context,agreement_status,type_of_disagreement,resolution,comment
nosferatu_000515,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,yes,no,disagreement,context,dark_figures / unknown_ambiguous,Frame δείχνει καλόγριες να κοιτούν πρός την φοβισένη καλόγρια
nosferatu_000520,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,medium,medium,no,no,agreement,none,frightened_faces / unknown_ambiguous,Frame δείχνει τρομαγμένες καλόγριες να τρέχουν προς όλες τις κατευθύνσεις
nosferatu_000527,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρες να μιλάνε γύρω από ένα τραπέζι
nosferatu_000541,satanic_symbols,satanic_symbols,occult_symbolism,occult_symbolism,low,low,no,no,agreement,none,satanic_symbols / occult_symbolism,Frame δείχνει ένα χέρι να κρατάει ένα βιβλιαράκι
nosferatu_000556,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,low,low,no,yes,disagreement,context,frightened_faces / unknown_ambiguous,Frame δείχνει τρομαγμένη γυναίκα στον ύπνο της
nosferatu_000566,dark_figures,dark_figures,unknown_ambiguous,supernatural_threat,low,low,no,no,disagreement,narrative,dark_figures / supernatural_threat,Frame δείχνει χαρακτήρα να κοιάται και μια φιγούρα να περνάει από δίπλα του 
nosferatu_000573,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει γριά να ξυπνάει
nosferatu_000581,dark_figures,dark_figures,unknown_ambiguous,ritual_or_curse,low,high,no,no,disagreement,narrative / requires_context,dark_figures / ritual_or_curse,Frame δείχνει σκωτεινό χαρακτήρα να απαγάγει και να τυφλώνει προσωρινά θύμα
nosferatu_000591,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρες να συζ
nosferatu_000600,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,medium,no,no,disagreement,confidence,dark_figures / unknown_ambiguous,Frame δείχνει πολιτή να προσπαθέι να πουλήσει αντικείμενο σε γυναίκα
nosferatu_000617,dark_figures,frightened_faces,unknown_ambiguous,unknown_ambiguous,low,low,no,no,disagreement,object,frightened_faces / unknown_ambiguous,Frame η γυνάίκα κλαίει ενώ ο ιατρός την παρηγορεί
nosferatu_000625,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,high,no,no,disagreement,confidence,dark_figures / unknown_ambiguous,Frame γυναίκα μιλάει με σκωτεινό κουκουλοφώρο χαρακτήρα
nosferatu_000634,torture_scene,torture_scene,ritual_or_curse,ritual_or_curse,high,high,no,no,agreement,none,torture_scene / ritual_or_curse,Frame που θυσιάζονται άνθρωποι καίγοντας τους σε κεντρικό σημείο
